    1       0   ag  
    2       0   ag  
    3       0   ag  
    4       3   b1u 
    5       3   b1u 
    6       4   b2g 
    7       5   b2u 
    8       6   b3g 
    9       7   b3u 
   10       0   ag  
   11       0   ag  
   12       0   ag  
   13       3   b1u 
   14       3   b1u 
   15       4   b2g 
   16       5   b2u 
   17       6   b3g 
   18       7   b3u 
   19       3   b1u 
   20       3   b1u 
