    1       0   a1  
    2       0   a1  
    3       0   a1  
    4       2   b1  
    5       3   b2  
    6       0   a1  
    7       0   a1  
    8       0   a1  
    9       2   b1  
   10       3   b2  
   11       0   a1  
   12       0   a1  
   13       0   a1  
   14       0   a1  
   15       0   a1  
   16       2   b1  
   17       2   b1  
   18       2   b1  
   19       3   b2  
   20       0   a1  
   21       0   a1  
   22       0   a1  
   23       0   a1  
   24       0   a1  
   25       2   b1  
   26       2   b1  
   27       2   b1  
   28       3   b2  
