 0.4767893333562D+00        3     2     3     2
-0.4767893333562D+00        3     2     2     3
-0.4767893333562D+00        2     3     3     2
 0.4767893333562D+00        2     3     2     3
-0.1663165897995D+00        1     2     4     5
 0.1663165897995D+00        1     2     5     4
 0.1663165897995D+00        2     1     4     5
-0.1663165897995D+00        2     1     5     4
 0.1663165897995D+00        1     2     5     4
-0.1663165897995D+00        1     2     4     5
-0.1663165897995D+00        2     1     5     4
 0.1663165897995D+00        2     1     4     5
-0.2331641248865D+00        1     3     4     5
 0.2331641248865D+00        1     3     5     4
 0.2331641248865D+00        3     1     4     5
-0.2331641248865D+00        3     1     5     4
 0.2331641248865D+00        1     3     5     4
-0.2331641248865D+00        1     3     4     5
-0.2331641248865D+00        3     1     5     4
 0.2331641248865D+00        3     1     4     5
 0.1663165897995D+00        2     1     4     5
-0.1663165897995D+00        2     1     5     4
-0.1663165897995D+00        1     2     4     5
 0.1663165897995D+00        1     2     5     4
-0.1663165897995D+00        2     1     5     4
 0.1663165897995D+00        2     1     4     5
 0.1663165897995D+00        1     2     5     4
-0.1663165897995D+00        1     2     4     5
 0.1280117926530D-01        2     3     4     5
-0.1280117926530D-01        2     3     5     4
-0.1280117926530D-01        3     2     4     5
 0.1280117926530D-01        3     2     5     4
-0.1280117926530D-01        2     3     5     4
 0.1280117926530D-01        2     3     4     5
 0.1280117926530D-01        3     2     5     4
-0.1280117926530D-01        3     2     4     5
 0.2331641248865D+00        3     1     4     5
-0.2331641248865D+00        3     1     5     4
-0.2331641248865D+00        1     3     4     5
 0.2331641248865D+00        1     3     5     4
-0.2331641248865D+00        3     1     5     4
 0.2331641248865D+00        3     1     4     5
 0.2331641248865D+00        1     3     5     4
-0.2331641248865D+00        1     3     4     5
-0.1280117926530D-01        3     2     4     5
 0.1280117926530D-01        3     2     5     4
 0.1280117926530D-01        2     3     4     5
-0.1280117926530D-01        2     3     5     4
 0.1280117926530D-01        3     2     5     4
-0.1280117926530D-01        3     2     4     5
-0.1280117926530D-01        2     3     5     4
 0.1280117926530D-01        2     3     4     5
-0.1913320001290D+00        1     2     4    15
 0.1913320001290D+00        1     2    15     4
 0.1913320001290D+00        2     1     4    15
-0.1913320001290D+00        2     1    15     4
-0.2849704769614D-02        1     2     5    15
 0.2849704769614D-02        1     2    15     5
 0.2849704769614D-02        2     1     5    15
-0.2849704769614D-02        2     1    15     5
 0.2028576009496D+00        1     3     4    15
-0.2028576009496D+00        1     3    15     4
-0.2028576009496D+00        3     1     4    15
 0.2028576009496D+00        3     1    15     4
 0.2708361943984D-01        1     3     5    15
-0.2708361943984D-01        1     3    15     5
-0.2708361943984D-01        3     1     5    15
 0.2708361943984D-01        3     1    15     5
 0.1913320001290D+00        2     1     4    15
-0.1913320001290D+00        2     1    15     4
-0.1913320001290D+00        1     2     4    15
 0.1913320001290D+00        1     2    15     4
 0.2849704769614D-02        2     1     5    15
-0.2849704769614D-02        2     1    15     5
-0.2849704769614D-02        1     2     5    15
 0.2849704769614D-02        1     2    15     5
-0.1785322052987D-01        2     3     4    15
 0.1785322052987D-01        2     3    15     4
 0.1785322052987D-01        3     2     4    15
-0.1785322052987D-01        3     2    15     4
-0.1143675893278D+00        2     3     5    15
 0.1143675893278D+00        2     3    15     5
 0.1143675893278D+00        3     2     5    15
-0.1143675893278D+00        3     2    15     5
-0.2028576009496D+00        3     1     4    15
 0.2028576009496D+00        3     1    15     4
 0.2028576009496D+00        1     3     4    15
-0.2028576009496D+00        1     3    15     4
-0.2708361943984D-01        3     1     5    15
 0.2708361943984D-01        3     1    15     5
 0.2708361943984D-01        1     3     5    15
-0.2708361943984D-01        1     3    15     5
 0.1785322052987D-01        3     2     4    15
-0.1785322052987D-01        3     2    15     4
-0.1785322052987D-01        2     3     4    15
 0.1785322052987D-01        2     3    15     4
 0.1143675893278D+00        3     2     5    15
-0.1143675893278D+00        3     2    15     5
-0.1143675893278D+00        2     3     5    15
 0.1143675893278D+00        2     3    15     5
 0.4449395659263D+00        1     4     1     4
-0.4449395659263D+00        1     4     4     1
-0.4449395659263D+00        4     1     1     4
 0.4449395659263D+00        4     1     4     1
 0.5293217849649D-02        1     4     1     5
-0.5293217849649D-02        1     4     5     1
-0.5293217849649D-02        4     1     1     5
 0.5293217849649D-02        4     1     5     1
 0.5038033234151D-02        1     4     2     4
-0.5038033234151D-02        1     4     4     2
-0.5038033234151D-02        4     1     2     4
 0.5038033234151D-02        4     1     4     2
 0.1097808272542D-03        1     4     2     5
-0.1097808272542D-03        1     4     5     2
-0.1097808272542D-03        4     1     2     5
 0.1097808272542D-03        4     1     5     2
-0.1264473378238D-01        1     4     3     4
 0.1264473378238D-01        1     4     4     3
 0.1264473378238D-01        4     1     3     4
-0.1264473378238D-01        4     1     4     3
-0.2943481304761D-03        1     4     3     5
 0.2943481304761D-03        1     4     5     3
 0.2943481304761D-03        4     1     3     5
-0.2943481304761D-03        4     1     5     3
 0.5293217849649D-02        1     5     1     4
-0.5293217849649D-02        1     5     4     1
-0.5293217849649D-02        5     1     1     4
 0.5293217849649D-02        5     1     4     1
 0.6309030818741D+00        1     5     1     5
-0.6309030818741D+00        1     5     5     1
-0.6309030818741D+00        5     1     1     5
 0.6309030818741D+00        5     1     5     1
 0.1664263706268D+00        1     5     2     4
-0.1664263706268D+00        1     5     4     2
-0.1664263706268D+00        5     1     2     4
 0.1664263706268D+00        5     1     4     2
-0.6474388015210D-02        1     5     2     5
 0.6474388015210D-02        1     5     5     2
 0.6474388015210D-02        5     1     2     5
-0.6474388015210D-02        5     1     5     2
 0.2328697767560D+00        1     5     3     4
-0.2328697767560D+00        1     5     4     3
-0.2328697767560D+00        5     1     3     4
