 0.9473672710854D+00        1     2     1     2
-0.9473672710854D+00        1     2     2     1
-0.9473672710854D+00        2     1     1     2
 0.9473672710854D+00        2     1     2     1
 0.1050766827130D+00        1     2     1     3
-0.1050766827130D+00        1     2     3     1
-0.1050766827130D+00        2     1     1     3
 0.1050766827130D+00        2     1     3     1
-0.9473672710854D+00        1     2     2     1
 0.9473672710854D+00        1     2     1     2
 0.9473672710854D+00        2     1     2     1
-0.9473672710854D+00        2     1     1     2
 0.6258980942976D-02        1     2     2     3
-0.6258980942976D-02        1     2     3     2
-0.6258980942976D-02        2     1     2     3
 0.6258980942976D-02        2     1     3     2
-0.1050766827130D+00        1     2     3     1
 0.1050766827130D+00        1     2     1     3
 0.1050766827130D+00        2     1     3     1
-0.1050766827130D+00        2     1     1     3
-0.6258980942976D-02        1     2     3     2
 0.6258980942976D-02        1     2     2     3
 0.6258980942976D-02        2     1     3     2
-0.6258980942976D-02        2     1     2     3
 0.1050766827130D+00        1     3     1     2
-0.1050766827130D+00        1     3     2     1
-0.1050766827130D+00        3     1     1     2
 0.1050766827130D+00        3     1     2     1
 0.9742573566100D+00        1     3     1     3
-0.9742573566100D+00        1     3     3     1
-0.9742573566100D+00        3     1     1     3
 0.9742573566100D+00        3     1     3     1
-0.1050766827130D+00        1     3     2     1
 0.1050766827130D+00        1     3     1     2
 0.1050766827130D+00        3     1     2     1
-0.1050766827130D+00        3     1     1     2
-0.3311839739643D-01        1     3     2     3
 0.3311839739643D-01        1     3     3     2
 0.3311839739643D-01        3     1     2     3
-0.3311839739643D-01        3     1     3     2
-0.9742573566100D+00        1     3     3     1
 0.9742573566100D+00        1     3     1     3
 0.9742573566100D+00        3     1     3     1
-0.9742573566100D+00        3     1     1     3
 0.3311839739643D-01        1     3     3     2
-0.3311839739643D-01        1     3     2     3
-0.3311839739643D-01        3     1     3     2
 0.3311839739643D-01        3     1     2     3
-0.9473672710854D+00        2     1     1     2
 0.9473672710854D+00        2     1     2     1
 0.9473672710854D+00        1     2     1     2
-0.9473672710854D+00        1     2     2     1
-0.1050766827130D+00        2     1     1     3
 0.1050766827130D+00        2     1     3     1
