-0.2023460136925D+02        1     1
-0.1251874327346D+01        2     2
-0.4359371378587D+00        3     3
-0.6171027047025D+00        4     4
-0.3850245489001D+00        5     5
-0.2023460136925D+02        6     6
-0.1251874327346D+01        7     7
-0.4359371378587D+00        8     8
-0.6171027047025D+00        9     9
-0.3850245489001D+00       10    10
 0.5750911997358D+00       11    11
 0.7392046230899D+00       12    12
 0.5750911997358D+00       13    13
 0.7392046230899D+00       14    14
